id,name,url,phone,email,description,logo_url,vendor_page_url,geographic_coverage,founded,company_size,company_type,industry_focus,specializations,social_links,contractor_rating,client_reviews,equipment_requirements,training_provided,payment_frequency,assignment_process,job_volume,onboarding_process,required_technology,equipment_provision,bbb_status,industry_recognition,recruiter_contact,qualifications,pay_range,compensation_structure,created_at,updated_at,categories,pay_max,pay_min,pay_type,rating,services,source,is_published,slug,starter_featured,starter_rank,brand_primary,brand_secondary,latitude,longitude,address,vendor_verified,address_source,address_confidence
079e478e-00e1-498c-8da0-d01e5a0a1fb0,edgemarksolutions,https://www.edgemarksolutions.com/,623.888.6969,vendor.recruiting@edgmarksolutions.com,,https://www.edgemarksolutions.com/wp-content/uploads/2015/02/logo-avada-architect.png,vendor.recruiting@edgmarksolutions.com,,,,,,,[],,,,,,,,,,,,,,,,,2025-11-12 20:35:12.89127+00,2026-01-11 19:32:18.775889+00,"[""Field Services""]",,,,,,,false,edgemarksolutions,,,,,33.613672,-111.925269,"13951 N. Scottsdale Rd, Suite 233, Scottsdale, AZ 85254",true,City of Scottsdale,
07d986b9-cf1e-42dd-a64e-3be6dc5f2c82,Altisource,https://www.altisource.com,(770) 612-7000,vendors@altisource.com,,https://www.altisource.com/wp-content/uploads/2023/02/Altisource-logo.png,https://www.altisource.com/about-us/vendor-network/,National,2009,Large,Public,Mortgage ServicingReal EstateFinancial Services,Technology-driven provider of services and solutions for the mortgage lifecycle and real estate industries,"[""https://www.linkedin.com/company/altisource""""https://twitter.com/altisource""""https://www.facebook.com/altisource""]",3.2,,Varies by service,TRUE,Typically Net 15-45 days,Work orders dispatched through Altisource's proprietary vendor portals/platforms.,High,Online application/registrationsubmission of credentialscompletion of certification/training modulesplatform onboarding.,Proprietary technology platforms,Contractor-supplied,NR,Major service provider in mortgage servicing and REO asset management,https://www.altisource.com/vendors,Varies by service,,,2025-11-10 19:19:18.896292+00,2026-01-11 19:32:18.775889+00,"[""Property Preservation"",""Property Inspection"",""Field Services""]",500,250,/appraisal,3.2,Field ServicesProperty Preservation,,false,altisource,,,,,34.058699,-84.290254,"2300 Lakeview Parkway, Suite 700, Alpharetta, GA 30009",true,Fulton (Fulton County),
07ff0d6b-e092-42fa-840b-53926178f51f,Associated Services InspectionsLTD,https://www.associatedservicesinspections.net,(832) 328-5955,asi@inspections.net,Associated Services InspectionsLTD. is a premier commercial and residential inspection company that has been providing honest information and trusted services since 1981. Our team of licensed property inspection professionals will provide a full range of services from liability to commercial packages for our clients to provide them with superior decision-making in all matters pertaining to underwriting and property assessment. We pride ourselves on building meaningful relationships with eac...,"https://img1.wsimg.com/isteam/ip/0d01b309-5e96-4f56-8e21-735ebee99162/image001.jpg/:/rs=w:150,h:88,cg:true,m/cr=w:150,h:88/qt=q:95",https://www.careers-page.com/associatedservicesinspections,NW,1981,,Private,Insurance,National provider of field inspection and data collection services for the insurance industry,"[""https://www.linkedin.com/company/graniteriskmanagement""]",3,,Reliable transportationSmartphone or tablet with high-quality camera and data planReliable internet accessMeasuring devicesLadder,TRUE,Typically bi-weekly or monthly,Assignments dispatched through the LossControl360 platform or direct email/communication.,Variable,Online application via Careers or Contractor Opportunities page.,LossControl360 platform,Contractor-supplied,,National provider of insurance underwriting and loss control inspection services,careers@associatedservicesinspections.net,"Be an energetic individual capable of completing a high volume of insurance inspections.
Be motivatedanalyticalresourcefuldecisiveand have good problem-solving skills.
Have solid writtencomposition and verbal communication skills.
Have a strong desire to succeed and work independently with limited direction & guidance.
Be self-disciplinedorganizedand able to manage an aggressive workloadand have the ability to prioritize and schedule inspections in a timely and efficient manner.
Not necessary but a plus: VIITA Certificationprevious experience in construction/plumbing/electrical industrieslife safety/firefightinggeneral contractingor property management.",,,,2026-01-11 19:32:18.775889+00,"[""Property Inspection""]",45,25,/inspection,3,InspectionsInsurance Inspection,,true,associated-services-inspectionsltd,,,,,29.867229,-95.582481,"12035 West Little York Road, Suite 455, Houston, TX 77040",true,TIGER/Line® from the US Census Bureau,
0821ad8d-a798-4fe6-b165-a22574044a3d,E2Value,https://www.e2value.com/,203-975-7990,info@e2value.com,"Property valuation and analytics technology platform providing replacement cost estimates, inspections, and risk data solutions for insurance and financial services organizations.",https://e2value.com/wp-content/uploads/2023/06/e2value-logo.gif,https://www.e2value.com/company/careers/,Nationwide,2004,201–500,Private,"Insurance Technology, Property Risk","Replacement Cost Valuation, Property Inspections, Risk Analytics","{""linkedin"": ""https://www.linkedin.com/company/e2value""}",,,"Computer, internet access",Yes,,Assignments issued through proprietary platforms,High,"Careers application, background check, platform training",E2Value proprietary software,None – contractor supplied,,Insurance valuation technology provider,Talent Acquisition via careers portal,Inspection or valuation experience preferred,,,,2026-01-11 19:32:18.775889+00,"[""Property Valuation Technology, Inspection Software, Risk Analytics""]",,,,,,,true,e2value,,,,,41.054082,-73.536216,"P.O. Box 3518, Stamford, CT 06905",true,TIGER/Line® dataset from the US Census Bureau,
08af77e2-a0f0-430c-a784-5f891220e9a1,Sure Point Inspections,https://surepointinspection.com,,,"Sure Point Inspections is a common brand name for property and home inspection services in local markets. Without a unique company website or confirmed national presence, no official URL or corporate details could be verified at this time.",,,Unknown,,,Private,Property Inspections,,[],,,,,,,,,,,,,,,,,,2026-01-11 19:32:18.775889+00,"[""Home & Property Inspections""]",,,,,,,true,sure-point-inspections,,,,,39.522976,-119.81155,"200 South Virginia St, Suite 800, Reno, NV 89501",false,Washoe,
08dda74b-adb1-417a-bea6-199358d6d343,CCDI LLC,https://ccdiusa.com,321-868-5678,info@ccdiusa.com,,Screenshot,https://ccdiusa.com/become-an-inspector,,,,LLC,,,[],,,,,,,,,,,,,,,,,2025-11-10 19:19:18.896292+00,2026-01-11 19:32:18.775889+00,"[""Field Services""]",,,,,,,false,ccdi-llc,,,,,28.375291,-80.604973,"109 Cleveland Ave, Cocoa Beach, FL 32931",true,Brevard (Brevard County),
08e30418-a1eb-4f5a-b380-e72e12176b47,TopBuild,https://www.topbuild.com/,,,"TopBuild is a leading U.S. installer and distributor of insulation and building material services for residential and commercial construction, operating through multiple subsidiaries nationwide.",,https://www.topbuild.com/careers/,Nationwide,2015,10000,Public,Construction & Building Services,"Insulation Installation, Building Materials Services","{""linkedin"": ""https://www.linkedin.com/company/topbuild""}",,,"Construction tools, PPE",Yes,,Subsidiary and branch-based project staffing,High,Careers application and training,Corporate and field operations systems,Company provided,,Largest U.S. insulation installer,Talent Acquisition via careers portal,,,,2025-12-11 20:47:00.522071+00,2026-01-11 19:32:18.775889+00,"[""Construction Services, Building Insulation & Installation""]",,,,,,,true,topbuild,,,,,29.197878,-81.084755,"475 N Williamson Blvd, Daytona Beach, FL 32114",true,Public Domain Volusia County,
09629088-b3bd-48c7-b1ed-3cdef83c9dff,Quiktrak,http://www.quiktrak.com,(503) 214-3000,fieldopsrecruiting@quiktrak.com,AT QUIKTRAKWE PROVIDE FIELD INSPECTIONSVERIFICATIONSINVENTORY AUDITINGAND PROPERTY DATA COLLECTION SERVICES FOR THE EQUIPMENT LEASINGCOMMERCIAL LENDINGWHOLESALE CREDITAND FLOOR PLAN FINANCING INDUSTRIES.,https://staging-b2be-quiktrak.wpcomstaging.com/wp-content/uploads/2023/07/Quiktrak-White.png,https://quiktrak.com/careers-external/,International,,,Private,Equipment Leasing,Global leader in field inspectionauditand inventory verification services,"[""https://www.linkedin.com/company/quiktrak/""""https://www.facebook.com/Quiktrak/""]",3.4,,Reliable transportationsmartphone or tablet with Quiktrak's mobile appinternet accessdigital camera,TRUE,Typically bi-weekly or monthly,Audits/inspections assigned via Quiktrak's proprietary platform (Revoquest).,Variable,Online application via CareersExternal or Become a Contractor section.,Proprietary field audit and inspection platform (Revoquest),Contractor-supplied,NR,Global provider of field audit and inspection services,https://quiktrak.com/careers-external/,Background check required,,,2025-11-10 19:19:18.896292+00,2026-01-11 19:32:18.775889+00,"[""Asset Verification"",""Mystery Shopping"",""Market Research""]",50,20,/inspection,3.4,Inspections,,true,quiktrak,,,,,45.460498,-122.789555,"8285 SW Nimbus Ave, Suite 115/119, Beaverton, OR 97008",true,Portland Metro (Oregon Metro RLIS Open Database End User License),
09b7ad58-b376-4e62-b700-9a9e17db6575,AMC Links,http://www.amclinks.com,(888) 262-5657,info@amclinks.com,,https://www.amclinks.com/images/amclinkslogo.png,https://www.amclinks.com/signup/appraiser.php,National,,Small,Private,Real Estate AppraisalMortgage LendingValuation Services,National Appraisal Management Company,"[""https://www.linkedin.com/in/amclinks/""""https://www.facebook.com/AMCLinksUSA/""]",2,,Computer with internet accessAppraisal softwareDigital cameraMeasuring toolsReliable internet,TRUE,Typically Net 30-45 days,Assignments offered via AMC Links' online appraiser portal.,,Online application via 'Appraiser Sign Up' link.,Proprietary web-based appraiser portal,Contractor-supplied,NR,Claims to be the first registered AMC in the US mandated by AMC statute.,appraisersignup@amclinks.com,Active State Appraiser License/CertificationMinimum E&O insurance coverageBackground checkUSPAP compliantFHA Approved AppraiserUAD capable,,,2025-11-10 19:19:18.896292+00,2026-01-11 19:32:18.775889+00,"[""Property Inspection"",""Appraisal Services"",""Mortgage Services""]",,,,2,Appraisal Services,,false,amc-links,,,,,39.746769,-75.550836,"1000 N. West Street, Suite 1200, Wilmington, DE 19801",true,TIGER/Line® from the US Census Bureau,
09bfcdb6-c638-4b58-b4ae-6186b5438bbf,Ivueit,https://ivueit.com/,(877) 903-6212,info@ivueit.com,,https://ivueit.com/wp-content/uploads/2020/06/iVueit-Logo_Animation-2.gif,https://ivueit.com/become-a-vuer/,National,,,,Real EstateAppraisalField Services,,"[""https://www.linkedin.com/company/ivueit/""""https://twitter.com/ivueitapp""""https://www.facebook.com/Ivueit-Media-LLC-973301639355759/info/?tab=overview""""https://www.instagram.com/ivueit/?hl=en""""https://www.youtube.com/channel/UCnazRYP4jDpVAzQFlRx-tgA""]",3.4,,,,,,,,,,,,,,,,2025-11-10 19:19:18.896292+00,2026-01-11 19:32:18.775889+00,"[""Property Inspection"",""Appraisal Services"",""Valuation""]",,,,3.4,Appraisal ServicesValuations,,false,ivueit,,,,,40.145164,-82.92254,"752 North State Street, Suite 224, Westerville, OH 43082",true,City of Columbus,
0aa2f5e2-6c5e-4989-b5e2-d1cd66cf5f1a,Trinity Real Estate Solutions,https://www.trinityonline.com/,(916) 239-4389,VendorManagement@trinityonline.com,"Trinity Real Estate Solutions provides nationwide mortgage field services including property inspections, valuations, REO support, and default servicing solutions for lenders and servicers.",https://www.trinityonline.com/hubfs/assets/brand/logo-on-dark.svg,https://www.trinityonline.com/vendors/,Nationwide,1999,201–500,Private,Mortgage Field Services,"Property Inspections, Valuations, REO & Default Services","{""linkedin"": ""https://www.linkedin.com/company/trinity-real-estate-solutions""}",3.8,,"Smartphone, camera, transportation",Yes,Net 30-45 days,Vendor portal work order dispatch,High,Vendor registration and compliance onboarding,Trinity vendor management platform,Contractor supplied,A+,Established national mortgage services provider,Use website Vendor/Inspection Network signup links,Varies by role,$30-$55/inspection,,2025-12-11 20:47:00.522071+00,2026-01-11 19:32:18.775889+00,"[""Mortgage Field Services, Inspections, Valuations & REO""]",55,30,/inspection,3.8,,,true,trinity-real-estate-solutions,,,,,32.908319,-96.956403,"7301 State Hwy 161, Suite 210, Irving, TX 75039",true,Dallas,
0aada0d7-823b-4e04-85b3-cfd6e033c2a0,Simple Inspections,https://simpleinspection.com/,719-301-7157,martin@simpleinspection.com,"Simple Inspections offers residential and commercial property inspection services including structural, roofing, and general condition reporting.",https://images.squarespace-cdn.com/content/v1/5c2835b912b13f8feab146b9/b1b43bff-5dd0-42d1-a40d-13b9bde0c959/concept+2-Logo+transparency.png,,Regional,,1–10,Private,Home Inspection Services,Residential & Commercial Condition Reports,[],,,"Inspection tools, transportation",,,,,,,Contractor supplied,,,,,,,,2026-01-11 19:32:18.775889+00,"[""Property & Home Inspections""]",,,,,,,true,simple-inspections,,,,,35.07523,-89.856139,"2650 Ridgeway Rd, Memphis, TN 38119",false,TIGER/Line® from the US Census Bureau,
0b4533d2-f2d3-40a3-8ca9-6314deda432d,MSI (now part of MCS Mortgage Services),https://www.mcs360.com/,(813) 387-1100,Info@MCS360.com,"MSI was a national property preservation and inspection services provider now acquired by MCS Mortgage Services, offering property inspection, preservation, repair management, and REO services.",,https://www.mcs360.com/vendors,Nationwide,,1001–5000,Private,"Mortgage Field Services, Property Preservation","Inspections, Preservation, Repair Management","{""linkedin"": ""https://www.linkedin.com/company/mcs360""}",,,"Smartphone, camera, transportation",Yes,,Orders dispatched via MCS vendor portal,High,Vendor registration and platform training,MCS vendor portal,Contractor supplied,,,,Field inspection experience preferred,,,2025-12-12 05:37:47.376203+00,2026-01-11 19:32:18.775889+00,"[""Property Preservation, Field Services, Inspections""]",,,,,,,true,msi-now-part-of-mcs-mortgage-services,,,,,32.991523,-96.983422,"350 Highland Drive, Suite 100, Lewisville, TX 75067",,Denton,
0be462a4-68cc-4740-a2db-f38060e890cb,Nspektr,https://nspektr.com/,(734) 707-9577,info@nspektr.com,,"https://static.wixstatic.com/media/db72d9_aa2f3167eb4a4c76a66c6b03d282096b~mv2.jpg/v1/crop/x_0,y_5,w_740,h_727/fill/w_112,h_110,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/Logo%20Blk.jpg",https://www.nspektr.com/join,National,,Small,Private,"Mortgage Field Services,Property Preservation,Real Estate Inspections,REO Management",Provides field services for the mortgage and real estate industryincluding property inspectionspreservationand REO servicesengaging independent vendors.,"[""https://x.com/nspektr""""https://www.facebook.com/Nspektr/""]",2.5,,For Preservation: Truck/vantools for property maintenance/repairsmartphone/tabletinsurance (GLE&OWC)Aspen Grove ABC# often preferred. For Inspectors: Reliable vehiclesmartphone/camerainternet access.,FALSE,monthly.,Work orders dispatched through an online vendor portal or email system. Assignments based on vendor's coverage areaservice capabilitiescapacityand performance.,Variable; depends on client volume in the vendor's service area. Volume can be inconsistent.,Online application via Join Us page on website. Submission of company informationservice types offeredcoverage areainsurance details (if applicable)W9background check information.,a web-based platform for work order management and report/photo submission.,Contractor-supplied,No BBB profile readily found for Nspektr matching this business type.,Provider of mortgage field services including property inspectionspreservationand REO supportutilizing a network of independent vendors.,[Unverified Recruiter Contact] Apply via Join Us page: https://nspektr.com/join-us/,Preservation Vendors: General Liability insuranceE&O insuranceWorkers' Compensation (or state exemption). Aspen Grove Background Check (ABC#) preferred/required for REO work. Experience in property maintenance. Inspectors: Background checkfield experience.,,,2025-11-10 19:19:18.896292+00,2026-01-11 19:32:18.775889+00,"[""Property Inspection"",""Customer Experience"",""Mystery Shopping""]",,,,2.5,Field ServicesInspectionsREO,,false,nspektr,,,,,44.099169,-123.468389,Address Not Verified,true,TIGER/Line® dataset from the US Census Bureau,
