What should a caregiver do if a client has fallen but says they feel unhurt and comfortable getting up?,"Observe carefully as they get up, assist as needed, and then perform a full assessment for injury once they are seated."
The acronym B.E. F.A.S.T. is used to spot a stroke. What does the 'F' stand for?,Face drooping.
"Under Washington State Law (RCW 74.34), Home Care Aides are considered _____ for all allegations of abandonment, abuse, financial exploitation, and neglect of a vulnerable adult.",mandatory reporters
How is 'neglect' defined in the context of care for a vulnerable adult?,"It is when a person with responsibility for a vulnerable adult fails to provide necessary goods or services, fails to prevent harm, or puts them in danger."
What is one example of a sign of neglect in a vulnerable adult?,"Untreated injuries, hazardous living conditions, lack of food, soiled clothing, or empty/outdated prescription bottles."
"In food safety, what is the temperature range of the 'Danger Zone' where bacteria grow rapidly?",41°F - 135°F (5°C – 57.2°C).
"Under Washington law (RCW 69.41.010), for an action to be 'medication assistance,' the client must perform what final step?","The client must perform the final step, such as placing the pill in their own mouth."
"According to the Negotiated Service Agreement for Jonathan Packard, what should the caregiver do if he refuses a medication?",The caregiver should notify the nurse.
What is the primary goal of Comfort-Focused Treatment on a POLST form?,The primary goal is maximizing comfort by relieving pain and suffering.
What are the two common household cleaners that should never be mixed because they can create a poisonous gas?,Bleach and ammonia.
"In a caregiving context, what are 'standard precautions'?",Treating all blood and bodily fluids as if they are infectious to prevent the spread of disease.
How is HIV transmitted?,"HIV is transmitted when infected blood, semen, vaginal fluids, or breast milk enter the body through mucous membranes or cuts in the skin."
What should a caregiver do if a client asks them to perform a transfer in a way that is unsafe?,The caregiver should not complete the transfer and should report the situation to their supervisor.
A Home Care Aide may not clip the fingernails or toenails of a client who has what two conditions?,A circulatory problem or diabetes.
"What is the main purpose of giving a client a bath, besides cleaning the skin?","It stimulates circulation, provides movement, and offers an opportunity to observe the client’s skin for problems."
The Harvard 'Healthy Eating Plate' model recommends that what food group should make up the largest portion of a meal?,Vegetables.
"When a client has dysphagia (difficulty swallowing), where should food be placed in their mouth?",In the middle of the front third of the tongue.
What are common 'potentially hazardous foods' (PHFs) that are more likely to cause foodborne illness if stored at improper temperatures?,"Meat, poultry, eggs, fish, cooked starches, cooked vegetables, sprouts, and cut melons."
What is the first step in disinfecting a surface that has been contaminated with bodily fluids?,Clean the surface with soap and water before applying disinfectant.
"In a DSHS CARE plan, what are the five levels of support a client might need to complete a task?","Independent, supervision, limited assistance, extensive assistance, and total dependence."
"When documenting observations about a client, what does the acronym S.O.A.P. stand for?","Subjective, Objective, Action, and Plan/Response."
What is an example of a 'warning sign' that a caregiver may be crossing professional boundaries with a client?,"Spending free time with a client, sharing personal information, taking gifts, or keeping secrets with them."
"If a client shows symptoms of heat stroke (e.g., temperature of 103°F, hot red skin, confusion), what is the immediate action a caregiver must take?","Call 911, as heat stroke is a medical emergency."
What is the difference between abuse and personal exploitation of a vulnerable adult?,"Abuse is an action that inflicts injury or intimidation, while personal exploitation is the act of forcing the adult to perform services for the profit of another."
What is the purpose of a gait belt?,A gait belt is worn around the client’s waist to aid the caregiver in safely assisting with transfers and walking.
A POLST form outlines a person's wishes for medical treatment. What does POLST stand for?,Physician Orders for Life-Sustaining Treatment.
"In the care plan for Jonathan Packard, how often is his blood pressure to be checked?",Every Friday.
What is one of the main duties of a long-term care ombuds?,To hear and help resolve complaints and concerns for residents in long-term care facilities.
"In a caregiving setting, what is 'involuntary seclusion'?","When barriers confine a person to a specific space against their will, such as locking them in their room."
"Under the ADA, what is VRI?","Video Remote Interpreting, an interpreting service that uses video conference technology."
What is the general rule under the ADA regarding the sale of tickets for accessible seating?,"A public accommodation must allow individuals with disabilities to purchase tickets for accessible seating in the same way as others (same hours, same distribution methods)."
The 2010 ADA Standards require what two features to be provided in movie theater auditoriums whenever a digital movie is distributed with them?,Closed movie captioning and audio description.
"Under the ADA, if full compliance with accessibility requirements is 'structurally impracticable' in a rare circumstance, what is the alternative obligation?",Compliance is required to the extent that it is not structurally impracticable; any portion that can be made accessible must be.
"The ADA contains an 'elevator exemption' for buildings under three stories or with less than 3,000 square feet per story, but what types of facilities are not eligible for this exemption?","Shopping centers, shopping malls, or the professional offices of a health care provider."
"If alterations to a historic property threaten its historic significance, what does the ADA require?",Alternative methods of access must be provided pursuant to the requirements of subpart C.
Who can institute a civil action for preventive relief under § 36.501 of the ADA Title III regulations?,Any person who is being subjected to discrimination on the basis of disability or has reasonable grounds to believe they are about to be.
The ADA Title III regulations define '_____ animal' as any dog that is individually trained to do work or perform tasks for the benefit of an individual with a disability.,service
What is the purpose of the 'Final Regulatory Impact Analysis' (Final RIA) mentioned in the ADA regulations?,It provides a comprehensive benefit-cost analysis of the final rules and assesses the incremental benefits and costs of the 2010 Standards relative to the 1991 Standards.
The ADA Title III regulations do not apply to what three types of entities?,"Private clubs, religious entities, or public entities."
"In the context of the ADA, what is the term for the removal of architectural barriers in existing facilities when it is 'easily accomplishable and able to be carried out without much difficulty or expense'?",Readily achievable.
What is the 'path of travel' rule for alterations under the ADA?,"An alteration affecting a primary function area must also, to the maximum extent feasible, make the path of travel to that area accessible, unless the cost is disproportionate."
"In caregiving, what is a key reason for encouraging a client to maintain good urinary and bowel function?",To prevent issues like urinary incontinence and constipation.
What is a simple tip to increase dietary fiber in a client's diet?,"Add beans to soups, choose whole-grain breads, eat fruits with peels, or add dried fruits to cereal."
"If a client is at high risk for pressure injuries, what is a primary preventative measure a caregiver can take?","Repositioning the client frequently (e.g., every two hours in bed) and ensuring their skin is clean and dry."
What is the recommended CDC minimum amount of moderate-intensity activity per week for adults 18-64?,150 minutes a week.
"In the 'Fundamentals of Caregiving,' what does the principle of 'self-determination' refer to?","A client's right to make their own choices about their life and care, even if those choices are considered unhealthy or unsafe by others."
"When a client makes a choice that could be unhealthy or unsafe, what is the first step a caregiver should take?",Explain to the client why they are concerned.
What is the purpose of the InspectorADE (IA) cell phone app used in the mortgage field services industry?,"It allows inspectors to download work orders, enter inspection data, and take photos directly on their smartphone, eliminating the need for paper reports and clipboards."
"According to the ADA, what is a 'qualified reader'?","A person who is able to read effectively, accurately, and impartially using any necessary specialized vocabulary for an individual with a disability."
"In the event of a fire, what is the absolute first priority for a caregiver?",Always help the client get to safety before doing anything else.
What is a 'Negotiated Service Agreement' in a caregiving context?,"A document that outlines what the client prefers to do independently and what tasks the provider or support person will do, along with when and how."
"According to the sample Negotiated Service Agreement, what is one of John Packard's 'behavioral issues'?",He easily gets frustrated when he cannot complete tasks on his own.
What kind of information is contained in a DSHS CARE Plan (Service Summary)?,"It includes referrals, nursing service indicators, and specific caregiver instructions for tasks like personal hygiene or dressing."
"According to the ADA, what is the rule regarding smoking in places of public accommodation?","The ADA does not preclude the prohibition of, or the imposition of restrictions on, smoking."
"Under the ADA, when may a health care provider refer an individual with a disability to another provider?","When the individual requires treatment outside the referring provider's area of specialization, and a similar referral would be made for an individual without a disability."
What is the purpose of a 'Durable Power of Attorney for Health Care'?,It is an advance directive that legally appoints someone to make health care decisions for a person if they become incapacitated.
